Headword ;Başlık;List 
a;A;1k
able;hünerli;1k
about;hakkında;1k
above;üstünde;1k
absolute;mutlak;1k
accept;kabul etmek;1k
across;karşısında;1k
act;davranmak;1k
actual;gerçek;1k
add;eklemek;1k
address;adres;1k
admit;itiraf etmek;1k
advertise;reklam vermek;1k
afford;parası yetmek;1k
afraid;korkmuş;1k
after;sonrasında;1k
afternoon;öğleden sonra;1k
again;Tekrar;1k
against;aykırı;1k
age;yaş;1k
ago;evvel;1k
agree;kabul etmek;1k
ahead;ilerde;1k
air;hava;1k
all;Tümü;1k
allow;izin vermek;1k
almost;neredeyse;1k
alone;yalnız;1k
along;birlikte;1k
already;çoktan;1k
alright;Tamam;1k
also;Ayrıca;1k
although;rağmen;1k
always;Her zaman;1k
among;arasında;1k
amount;miktar;1k
and;Ve;1k
angry;sinirli;1k
animal;hayvan;1k
another;bir diğer;1k
answer;cevap;1k
any;herhangi;1k
apart;ayrı;1k
apparent;belirgin;1k
appear;belli olmak;1k
area;alan;1k
arm;kol;1k
around;etrafında;1k
arrange;düzenlemek;1k
arrive;varmak;1k
art;sanat;1k
as;gibi;1k
ashamed;utanmış;1k
ask;sormak;1k
at;en;1k
aunt;hala;1k
autumn;sonbahar;1k
aware;farkında olmak;1k
away;uzak;1k
awful;berbat;1k
baby;Bebek;1k
back;geri;1k
bad;kötü;1k
bag;çanta;1k
ball;top;1k
bank;banka;1k
bar;çubuk;1k
base;temel;1k
basic;temel;1k
bath;banyo;1k
be;olmak;1k
beach;sahil;1k
bear;ayı;1k
beat;vurmak;1k
beauty;güzellik;1k
because;Çünkü;1k
become;haline gelmek;1k
bed;yatak;1k
before;önce;1k
begin;başlamak;1k
behind;arka;1k
believe;inanmak;1k
below;altında;1k
beneath;altında;1k
beside;yanında;1k
best;en iyi;1k
bet;bahis;1k
better;daha iyi;1k
between;arasında;1k
beyond;öte;1k
big;büyük;1k
bill;fatura;1k
billion;milyar;1k
bird;kuş;1k
birth;doğum;1k
bit;biraz;1k
black;siyah;1k
blood;kan;1k
blow;üflemek;1k
blue;mavi;1k
board;pano;1k
boat;bot;1k
body;vücut;1k
bone;kemik;1k
book;kitap;1k
boring;sıkıcı;1k
born;doğmak;1k
both;ikisi birden;1k
bother;rahatsız etmek;1k
bottle;şişe;1k
bottom;alt;1k
box;kutu;1k
boy;erkek çocuk;1k
bread;ekmek;1k
break;kırmak;1k
breakfast;kahvaltı;1k
breath;nefes;1k
bright;parlak;1k
bring;getirmek;1k
brother;Erkek kardeş;1k
brown;kahverengi;1k
build;inşa etmek;1k
burn;yakmak;1k
bus;otobüs;1k
business;işletme;1k
busy;Meşgul;1k
but;Ancak;1k
buy;satın almak;1k
by;ile;1k
cake;kek;1k
call;Arama;1k
camp;kamp;1k
can;olabilmek;1k
car;araba;1k
card;kart;1k
care;bakım;1k
carry;taşımak;1k
case;dava;1k
cat;kedi;1k
catch;yakalamak;1k
cause;neden;1k
centre;merkez;1k
certain;kesin;1k
chair;sandalye;1k
chance;şans;1k
change;değiştirmek;1k
charge;şarj;1k
cheap;ucuz;1k
check;kontrol etmek;1k
chicken;tavuk;1k
child;çocuk;1k
chip;çip;1k
choice;seçenek;1k
choose;seçmek;1k
christmas;noel;1k
church;kilise;1k
city;şehir;1k
class;sınıf;1k
clean;temiz;1k
clear;temizlemek;1k
climb;tırmanmak;1k
clock;saat;1k
close;kapalı;1k
closed;kapalı;1k
clothes;kıyafetler;1k
club;kulüp;1k
coat;kaban;1k
coffee;Kahve;1k
cold;soğuk;1k
collect;TOPLAMAK;1k
college;üniversite;1k
colour;renk;1k
come;Gelmek;1k
comfort;konfor;1k
company;şirket;1k
complete;tamamlamak;1k
computer;bilgisayar;1k
concern;kaygı;1k
consider;dikkate almak;1k
continue;devam etmek;1k
control;kontrol;1k
conversation;konuşma;1k
cook;aşçı;1k
cool;Serin;1k
corner;köşe;1k
cost;maliyet;1k
could;olabilir;1k
count;saymak;1k
country;ülke;1k
couple;çift;1k
course;kurs;1k
court;mahkeme;1k
cover;kapak;1k
crazy;deli;1k
crime;suç;1k
cross;geçmek;1k
cry;ağlamak;1k
cup;bardak;1k
cut;kesmek;1k
dad;baba;1k
dance;dans;1k
danger;tehlike;1k
dark;karanlık;1k
darling;Canım;1k
date;tarih;1k
daughter;kız çocuğu;1k
day;gün;1k
dead;ölü;1k
deal;anlaşmak;1k
dear;Sayın;1k
death;ölüm;1k
decide;karar vermek;1k
deep;derin;1k
definite;kesin;1k
degree;derece;1k
delicious;lezzetli;1k
depend;bağlı olmak;1k
die;ölmek;1k
difference;fark;1k
different;farklı;1k
difficult;zor;1k
dig;kazmak;1k
dinner;akşam yemeği;1k
dirty;kirli;1k
discover;keşfetmek;1k
do;Yapmak;1k
doctor;doktor;1k
dog;köpek;1k
door;kapı;1k
double;çift;1k
doubt;şüphe;1k
down;aşağı;1k
draw;çizmek;1k
dream;rüya;1k
dress;elbise;1k
drink;içmek;1k
drive;sürmek;1k
drop;düşürmek;1k
drug;ilaç;1k
dry;kuru;1k
during;sırasında;1k
each;her biri;1k
ear;kulak;1k
early;erken;1k
earth;toprak;1k
east;doğu;1k
easy;kolay;1k
eat;yemek yemek;1k
edge;kenar;1k
educate;eğitmek;1k
egg;yumurta;1k
eight;sekiz;1k
either;herhangi biri;1k
eleven;on bir;1k
else;başka;1k
employ;istihdam etmek;1k
empty;boş;1k
end;son;1k
engine;motor;1k
enjoy;Eğlence;1k
enough;yeterli;1k
enter;girmek;1k
especially;özellikle;1k
even;eşit;1k
evening;akşam;1k
ever;durmadan;1k
every;Her;1k
exact;bire bir aynı;1k
except;hariç;1k
excite;heyecanlandırmak;1k
excuse;mazeret;1k
expect;beklemek;1k
expensive;masraflı;1k
experience;deneyim;1k
explain;açıklamak;1k
express;ifade etmek;1k
extra;ekstra;1k
eye;göz;1k
face;yüz;1k
fact;hakikat;1k
fair;adil;1k
fall;düşmek;1k
family;aile;1k
far;uzak;1k
farm;çiftlik;1k
fast;hızlı;1k
fat;yağ;1k
father;baba;1k
favourite;favori;1k
fear;korku;1k
feed;beslemek;1k
feel;hissetmek;1k
fellow;aynı tür;1k
few;bir kaç;1k
field;alan;1k
fight;kavga;1k
figure;figür;1k
fill;doldurmak;1k
film;film;1k
final;son;1k
find;bulmak;1k
fine;iyi;1k
finger;parmak;1k
finish;sona ermek;1k
fire;ateş;1k
first;Birinci;1k
fish;balık;1k
fit;yerleştirmek;1k
five;beş;1k
fix;düzeltmek;1k
flat;düz;1k
floor;zemin;1k
flower;çiçek;1k
fly;uçmak;1k
follow;takip etmek;1k
food;yiyecek;1k
foot;ayak;1k
football;futbol;1k
for;için;1k
force;güç;1k
forest;orman;1k
forget;unutmak;1k
form;biçim;1k
